Order ID,Country,City,State,Postal Code,Region
CA-2016-152156,United States,Henderson,Kentucky,42420,South
CA-2016-138688,United States,Los Angeles,California,90036,West
US-2015-108966,United States,Fort Lauderdale,Florida,33311,South
CA-2014-115812,United States,Los Angeles,California,90032,West
CA-2017-114412,United States,Concord,North Carolina,28027,South
CA-2016-161389,United States,Seattle,Washington,98103,West
US-2015-118983,United States,Fort Worth,Texas,76106,Central
CA-2014-105893,United States,Madison,Wisconsin,53711,Central
CA-2014-167164,United States,West Jordan,Utah,84084,West
CA-2014-143336,United States,San Francisco,California,94109,West
CA-2016-137330,United States,Fremont,Nebraska,68025,Central
US-2017-156909,United States,Philadelphia,Pennsylvania,19140,East
CA-2015-106320,United States,Orem,Utah,84057,West
CA-2016-121755,United States,Los Angeles,California,90049,West
US-2015-150630,United States,Philadelphia,Pennsylvania,19140,East
CA-2017-107727,United States,Houston,Texas,77095,Central
CA-2016-117590,United States,Richardson,Texas,75080,Central
CA-2015-117415,United States,Houston,Texas,77041,Central
CA-2017-120999,United States,Naperville,Illinois,60540,Central
CA-2016-101343,United States,Los Angeles,California,90049,West
CA-2017-139619,United States,Melbourne,Florida,32935,South
CA-2016-118255,United States,Eagan,Minnesota,55122,Central
CA-2014-146703,United States,Westland,Michigan,48185,Central
CA-2016-169194,United States,Dover,Delaware,19901,East
CA-2015-115742,United States,New Albany,Indiana,47150,Central
CA-2016-105816,United States,New York City,New York,10024,East
CA-2016-111682,United States,Troy,New York,12180,East
CA-2015-135545,United States,Los Angeles,California,90004,West
US-2015-164175,United States,Chicago,Illinois,60610,Central
CA-2014-106376,United States,Gilbert,Arizona,85234,West
CA-2016-119823,United States,Springfield,Virginia,22153,South
CA-2016-106075,United States,New York City,New York,10009,East
CA-2017-114440,United States,Jackson,Michigan,49201,Central
US-2015-134026,United States,Memphis,Tennessee,38109,South
US-2017-118038,United States,Houston,Texas,77041,Central
US-2014-147606,United States,Houston,Texas,77070,Central
CA-2016-127208,United States,Decatur,Alabama,35601,South
CA-2014-139451,United States,San Francisco,California,94122,West
CA-2015-149734,United States,Durham,North Carolina,27707,South
US-2017-119662,United States,Chicago,Illinois,60623,Central
CA-2017-140088,United States,Columbia,South Carolina,29203,South
CA-2017-155558,United States,Rochester,Minnesota,55901,Central
CA-2016-159695,United States,Houston,Texas,77095,Central
CA-2016-109806,United States,Los Angeles,California,90036,West
CA-2015-149587,United States,Minneapolis,Minnesota,55407,Central
US-2017-109484,United States,Portland,Oregon,97206,West
CA-2017-161018,United States,New York City,New York,10009,East
CA-2017-157833,United States,San Francisco,California,94122,West
CA-2016-149223,United States,Saint Paul,Minnesota,55106,Central
CA-2016-158568,United States,Chicago,Illinois,60610,Central
CA-2016-129903,United States,Rochester,Minnesota,55901,Central
US-2015-156867,United States,Aurora,Colorado,80013,West
CA-2017-119004,United States,Charlotte,North Carolina,28205,South
CA-2015-129476,United States,Orland Park,Illinois,60462,Central
CA-2017-146780,United States,New York City,New York,10035,East
CA-2016-128867,United States,Urbandale,Iowa,50322,Central
CA-2014-115259,United States,Columbus,Ohio,43229,East
CA-2015-110457,United States,Seattle,Washington,98103,West
US-2015-136476,United States,Bristol,Tennessee,37620,South
CA-2016-103730,United States,Wilmington,Delaware,19805,East
US-2014-152030,United States,Houston,Texas,77041,Central
US-2014-134614,United States,Bloomington,Illinois,61701,Central
US-2017-107272,United States,Phoenix,Arizona,85023,West
US-2016-125969,United States,Los Angeles,California,90004,West
US-2017-164147,United States,Columbus,Ohio,43229,East
CA-2016-145583,United States,Roseville,California,95661,West
CA-2016-110366,United States,Philadelphia,Pennsylvania,19140,East
CA-2017-106180,United States,San Francisco,California,94122,West
CA-2017-155376,United States,Independence,Missouri,64055,Central
CA-2015-110744,United States,Pasadena,California,91104,West
CA-2014-110072,United States,Newark,Ohio,43055,East
CA-2016-114489,United States,Franklin,Wisconsin,53132,Central
CA-2016-158834,United States,Scottsdale,Arizona,85254,West
CA-2015-124919,United States,San Jose,California,95123,West
CA-2015-118948,United States,Seattle,Washington,98105,West
CA-2014-104269,United States,Seattle,Washington,98115,West
CA-2016-114104,United States,Edmond,Oklahoma,73034,Central
CA-2016-162733,United States,Los Angeles,California,90045,West
CA-2015-119697,United States,Philadelphia,Pennsylvania,19134,East
CA-2016-154508,United States,Carlsbad,New Mexico,88220,West
CA-2016-113817,United States,Seattle,Washington,98115,West
CA-2014-139892,United States,San Antonio,Texas,78207,Central
CA-2014-118962,United States,Los Angeles,California,90004,West
US-2014-100853,United States,Chicago,Illinois,60623,Central
US-2017-152366,United States,Houston,Texas,77036,Central
US-2015-101511,United States,Newark,Ohio,43055,East
CA-2015-137225,United States,New York City,New York,10009,East
CA-2014-166191,United States,Decatur,Illinois,62521,Central
CA-2014-158274,United States,Monroe,Louisiana,71203,South
